;Unnamed: 0;Participant;List;type;alter;geschlecht;händigkeit;aufgewachsen;wohnhaft_2020;weietere_MS;AMLaP;Part_Sex;Trial;Item;Time;Subexperiment;Condition;Verb;presumed_bias;NP1gender;NP2_gender;verbclass;Connective;prompt;cont;Analysierbar;Anzahl_Ana;Wortstellung;Koref_erste_ama;bias;congruency;Form;personalpronomen;Einbettung;stelle_1;kasusidentisch;anapher_folgt_unmittelbar_auf_konnektor;peronalpronomen_folgt_unmittelbar_auf_konnektor;filter_$;Zufallsreihenfolge;UrsprünglicheReihenfolge;filter_mit_gefallen;NP1;NP2
287;287;101;1;Experiment;26;female;rechts;81479;72070;keine;ja;female;99;3;1,56044E+12;2;sodass_se_mf;enttäuschen;object;m; f;se; sodass;Michael enttäuschte Simone, sodass;sie die Beziehung beendete.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1094;32;Selected;Michael;Simone
288;288;101;1;Experiment;26;female;rechts;81479;72070;keine;ja;female;34;4;1,56044E+13;2;weil_se_mf;inspirieren;subject;m; f;se; weil;Kevin inspirierte Saskia, weil;er so interessante Texte schreiben konnte.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1883;9;Selected;Kevin;Saskia
289;289;101;1;Experiment;26;female;rechts;81479;72070;keine;ja;female;111;5;1,56044E+13;2;weil_se_fm;bezaubern;subject;f; m;se; weil;Martha bezauberte Tim, weil;sie so gut kochen konnte.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;946;36;Selected;Martha;Tim
290;290;101;1;Experiment;26;female;rechts;81479;72070;keine;ja;female;102;6;1,56044E+12;2;weil_es_mf;misstrauen;object;m; f;es; weil;Daniel misstraute Jana, weil;sie schon einem gelogen hatte.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;447;33;Selected;Daniel;Jana
291;291;101;1;Experiment;26;female;rechts;81479;72070;keine;ja;female;29;6;1,56044E+13;2;sodass_se_fm;verwirren;object;f; m;se; sodass;Jana verwirrte Daniel, sodass;er nicht wusste woran er bei ihr war.;sinnvoll;zwei;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1622;8;Selected;Jana;Daniel
292;292;101;1;Experiment;26;female;rechts;81479;72070;keine;ja;female;109;7;1,56044E+13;2;weil_es_fm;schätzen;object;f; m;es; weil;Lena schätzte Oliver, weil;er sehr ehrlich war.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;57;34;Selected;Lena;Oliver
293;293;101;1;Experiment;26;female;rechts;81479;72070;keine;ja;female;64;7;1,56044E+13;2;sodass_se_mf;überraschen;object;m; f;se; sodass;Oliver überraschte Lena, sodass;sie ein wenig erschreckte.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;54;22;Selected;Oliver;Lena
294;294;101;1;Experiment;26;female;rechts;81479;72070;keine;ja;female;44;8;1,56044E+13;2;sodass_es_fm;mögen;subject;f; m;es; sodass;Jennifer mochte Tobias, sodass;sie oft seine Nähe suchte.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;317;16;Selected;Jennifer;Tobias
295;295;101;1;Experiment;26;female;rechts;81479;72070;keine;ja;female;38;9;1,56044E+13;2;weil_se_fm;stören;subject;f; m;se; weil;Annemarie störte Malte, weil;sie zu laut auf den Tasten ihres PCs tippte.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1058;12;Selected;Annemarie;Malte
296;296;101;1;Experiment;26;female;rechts;81479;72070;keine;ja;female;69;9;1,56044E+13;2;sodass_es_mf;hassen;subject;m; f;es; sodass;Malte hasste Annemarie, sodass;er sie ignorierte.;sinnvoll;zwei;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1431;25;Selected;Malte;Annemarie
297;297;101;1;Experiment;26;female;rechts;81479;72070;keine;ja;female;57;10;1,56044E+13;2;weil_es_mf;achten;object;m; f;es; weil;Robin achtete Adele, weil;sie Patrick belogen hatte.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;251;19;Selected;Robin;Adele
298;298;101;1;Experiment;26;female;rechts;81479;72070;keine;ja;female;118;10;1,56044E+13;2;sodass_se_fm;beeindrucken;object;f; m;se; sodass;Adele beeindruckte Robin, sodass;er mehr über ihr Hobby wissen wollte.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;12;39;Selected;Adele;Robin
299;299;101;1;Experiment;26;female;rechts;81479;72070;keine;ja;female;91;11;1,56044E+13;2;weil_es_fm;bewundern;object;f; m;es; weil;Anna bewunderte Armin, weil;er so gut tanzen konnte.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;590;30;Selected;Anna;Armin
300;300;101;1;Experiment;26;female;rechts;81479;72070;keine;ja;female;114;11;1,56044E+12;2;sodass_se_mf;begeistern;object;m; f;se; sodass;Armin begeisterte Anna, sodass;sie ganz erstaunt war über seine offene Art.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;58;38;Selected;Armin;Anna
301;301;101;1;Experiment;26;female;rechts;81479;72070;keine;ja;female;79;12;1,56044E+13;2;weil_se_mf;amüsieren;subject;m; f;se; weil;Fritz amüsierte Emma, weil;er so oft Schluckauf hatte.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1994;27;Selected;Fritz;Emma
302;302;101;1;Experiment;26;female;rechts;81479;72070;keine;ja;female;20;12;1,56044E+13;2;sodass_es_fm;lieben;subject;f; m;es; sodass;Emma liebte Fritz, sodass;sie ihn auf der Stelle heiraten würde.;sinnvoll;zwei;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;312;4;Selected;Emma;Fritz
303;303;101;1;Experiment;26;female;rechts;81479;72070;keine;ja;female;110;13;1,56044E+13;2;weil_se_fm;langweilen;subject;f; m;se; weil;Melanie langweilte Jacob, weil;sie die ganze Zeit über Politik redete.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;902;35;Selected;Melanie;Jacob
304;304;101;1;Experiment;26;female;rechts;81479;72070;keine;ja;female;59;13;1,56044E+13;2;sodass_es_mf;bemitleiden;subject;m; f;es; sodass;Jacob bemitleidete Melanie, sodass;er ihr seine Hilfe anbot.;sinnvoll;zwei;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;622;20;Selected;Jacob;Melanie
305;305;101;1;Experiment;26;female;rechts;81479;72070;keine;ja;female;68;14;1,56044E+13;2;weil_es_mf;anhimmeln;object;m; f;es; weil;Yannick himmelte Janina an, weil;sie ein bezauberndes Lächeln hatte.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;745;24;Selected;Yannick;Janina
306;306;101;1;Experiment;26;female;rechts;81479;72070;keine;ja;female;83;14;1,56044E+13;2;sodass_se_fm;verblüffen;object;f; m;se; sodass;Janina verblüffte Yannick, sodass;er sprachlos war.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;411;28;Selected;Janina;Yannick
307;307;101;1;Experiment;26;female;rechts;81479;72070;keine;ja;female;26;15;1,56044E+13;2;weil_es_fm;fürchten;object;f; m;es; weil;Katharina fürchtete Rüdiger, weil;er ein Messer bei sich trug.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;823;7;Selected;Katharina;Rüdiger
308;308;101;1;Experiment;26;female;rechts;81479;72070;keine;ja;female;40;15;1,56044E+13;2;sodass_se_mf;ängstigen;object;m; f;se; sodass;Rüdiger ängstigte Katharina, sodass;sie bei Karl Schutz suchte.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;440;14;Selected;Rüdiger;Katharina
309;309;101;1;Experiment;26;female;rechts;81479;72070;keine;ja;female;37;16;1,56044E+13;2;weil_se_mf;entzücken;subject;m; f;se; weil;Dennis entzückte Stefanie, weil;er ihr Blumen schenkte.;sinnvoll;zwei;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1593;11;Selected;Dennis;Stefanie
310;310;101;1;Experiment;26;female;rechts;81479;72070;keine;ja;female;113;16;1,56044E+13;2;sodass_es_fm;vertrauen;subject;f; m;es; sodass;Stefanie vertraute Dennis, sodass;sie ihm ihre Geheimnisse anvertraute.;sinnvoll;zwei;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;287;37;Selected;Stefanie;Dennis
311;311;101;1;Experiment;26;female;rechts;81479;72070;keine;ja;female;95;17;1,56044E+13;2;weil_se_fm;irritieren;subject;f; m;se; weil;Marike irritierte Felix, weil;sie in Rätseln sprach.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;2050;31;Selected;Marike;Felix
312;312;101;1;Experiment;26;female;rechts;81479;72070;keine;ja;female;119;17;1,56044E+13;2;sodass_es_mf;vermissen;subject;m; f;es; sodass;Felix vermisste Marike, sodass;er sie anrief.;sinnvoll;zwei;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;261;40;Selected;Felix;Marike
313;313;101;1;Experiment;26;female;rechts;81479;72070;keine;ja;female;12;18;1,56044E+13;2;weil_es_mf;ekeln sich vor;object;m; f;es; weil;Klaus ekelte sich vor Marie, weil;sie ihre Haare zu selten wusch.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1718;1;Selected;Klaus;Marie
314;314;101;1;Experiment;26;female;rechts;81479;72070;keine;ja;female;23;18;1,56044E+13;2;sodass_se_fm;erstaunen;object;f; m;se; sodass;Marie erstaunte Klaus, sodass;er Beifall klatschte.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1325;5;Selected;Marie;Klaus
315;315;101;1;Experiment;26;female;rechts;81479;72070;keine;ja;female;45;19;1,56044E+13;2;weil_es_fm;sorgen sich um;object;f; m;es; weil;Alisa sorgte sich um Alexander, weil;er zu viel Alkohol trank.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1033;17;Selected;Alisa;Alexander
316;316;101;1;Experiment;26;female;rechts;81479;72070;keine;ja;female;19;20;1,56044E+13;2;sodass_es_fm;bedauern;subject;f; m;es; sodass;Aisha bedauerte Albert, sodass;sie ihm ihre Hilfe anbot.;sinnvoll;zwei;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1107;3;Selected;Aisha;Albert
317;317;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;85;1;1,56052E+13;2;weil_se_fm;schockieren;subject;f; m;se; weil;Johanna schockierte Lars, weil;sie sehr kühn war;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1336;71;Selected;Johanna;Lars
318;318;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;14;2;1560518709;2;weil_es_mf;verehren;object;m; f;es; weil;Patrick verehrte Anastasia, weil;sie so klug war;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;679;48;Selected;Patrick;Anastasia
319;319;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;1;2;1,56052E+13;2;sodass_se_fm;faszinieren;object;f; m;se; sodass;Anastasia faszinierte Patrick, sodass;er ihr einen Heiratsantrag machte;sinnvoll;zwei;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;415;41;Selected;Anastasia;Patrick
320;320;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;107;3;1,56052E+12;2;weil_es_fm;verabscheuen;object;f; m;es; weil;Simone verabscheute Michael, weil;er gemein war;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1289;76;Selected;Simone;Michael
321;321;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;3;3;1,56052E+13;2;sodass_se_mf;enttäuschen;object;m; f;se; sodass;Michael enttäuschte Simone, sodass;sie Schluss machte;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;742;43;Selected;Michael;Simone
322;322;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;77;4;1,56052E+13;2;weil_se_mf;inspirieren;subject;m; f;se; weil;Kevin inspirierte Saskia, weil;er viele tolle ideen hatte;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;416;68;Selected;Kevin;Saskia
323;323;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;7;5;1,56052E+13;2;weil_se_fm;bezaubern;subject;f; m;se; weil;Martha bezauberte Tim, weil;sie so wunderschön war;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1583;45;Selected;Martha;Tim
324;324;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;35;6;1,56052E+13;2;weil_es_mf;misstrauen;object;m; f;es; weil;Daniel misstraute Jana, weil;sie einen fiesen Blick hatte;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1025;55;Selected;Daniel;Jana
325;325;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;83;6;1,56052E+13;2;sodass_se_fm;verwirren;object;f; m;se; sodass;Jana verwirrte Daniel, sodass;er nicht mehr weiter wusste;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1073;70;Selected;Jana;Daniel
326;326;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;53;7;1,56052E+13;2;weil_es_fm;schätzen;object;f; m;es; weil;Lena schätzte Oliver, weil;er kluge Dinge sagte;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1338;60;Selected;Lena;Oliver
327;327;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;73;7;1,56052E+13;2;sodass_se_mf;überraschen;object;m; f;se; sodass;Oliver überraschte Lena, sodass;sie erschrak;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;920;66;Selected;Oliver;Lena
328;328;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;67;8;1,56052E+12;2;sodass_es_fm;mögen;subject;f; m;es; sodass;Jennifer mochte Tobias, sodass;sie ihn ansprach;sinnvoll;zwei;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;760;63;Selected;Jennifer;Tobias
329;329;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;76;10;1,56052E+13;2;weil_es_mf;achten;object;m; f;es; weil;Robin achtete Adele, weil;sie gut war;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1830;67;Selected;Robin;Adele
330;330;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;92;10;1,56052E+13;2;sodass_se_fm;beeindrucken;object;f; m;se; sodass;Adele beeindruckte Robin, sodass;er ihr fortan immer half;sinnvoll;zwei;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1857;73;Selected;Adele;Robin
331;331;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;15;11;1,56052E+13;2;weil_es_fm;bewundern;object;f; m;es; weil;Anna bewunderte Armin, weil;er so schön war;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;881;49;Selected;Anna;Armin
332;332;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;96;11;1,56052E+13;2;sodass_se_mf;begeistern;object;m; f;se; sodass;Armin begeisterte Anna, sodass;sie von ihm inspiriert war;sinnvoll;zwei;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;291;74;Selected;Armin;Anna
333;333;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;6;12;1,56052E+13;2;weil_se_mf;amüsieren;subject;m; f;se; weil;Fritz amüsierte Emma, weil;er lustig war;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1898;44;Selected;Fritz;Emma
334;334;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;120;13;1,56052E+13;2;weil_se_fm;langweilen;subject;f; m;se; weil;Melanie langweilte Jacob, weil;sie gelangweilt von ihm war;sinnvoll;zwei;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1326;80;Selected;Melanie;Jacob
335;335;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;11;13;1,56052E+13;2;sodass_es_mf;bemitleiden;subject;m; f;es; sodass;Jacob bemitleidete Melanie, sodass;er traurig war;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;967;47;Selected;Jacob;Melanie
336;336;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;29;14;1,56052E+13;2;weil_es_mf;anhimmeln;object;m; f;es; weil;Yannick himmelte Janina an, weil;sie die tollste Frau der Welt war;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;875;51;Selected;Yannick;Janina
337;337;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;61;15;1,56052E+13;2;weil_es_fm;fürchten;object;f; m;es; weil;Katharina fürchtete Rüdiger, weil;er aggressiv war;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1423;62;Selected;Katharina;Rüdiger
338;338;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;44;15;1,56052E+13;2;sodass_se_mf;ängstigen;object;m; f;se; sodass;Rüdiger ängstigte Katharina, sodass;sie sich nicht traute, wegzugehen;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;ja;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;146;58;Selected;Rüdiger;Katharina
339;339;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;36;16;1,56052E+13;2;weil_se_mf;entzücken;subject;m; f;se; weil;Dennis entzückte Stefanie, weil;er tolle Komplimente machte;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1686;56;Selected;Dennis;Stefanie
340;340;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;90;17;1,56052E+13;2;weil_se_fm;irritieren;subject;f; m;se; weil;Marike irritierte Felix, weil;sie so fröhlich war;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;115;72;Selected;Marike;Felix
341;341;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;60;17;1,56052E+13;2;sodass_es_mf;vermissen;subject;m; f;es; sodass;Felix vermisste Marike, sodass;er keine Lust auf irgendetwas hatte;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1040;61;Selected;Felix;Marike
342;342;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;38;18;1,56052E+13;2;weil_es_mf;ekeln sich vor;object;m; f;es; weil;Klaus ekelte sich vor Marie, weil;sie mit den Händen aß;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;64;57;Selected;Klaus;Marie
343;343;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;30;18;1,56052E+13;2;sodass_se_fm;erstaunen;object;f; m;se; sodass;Marie erstaunte Klaus, sodass;er sich in sie verliebte;sinnvoll;zwei;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;421;52;Selected;Marie;Klaus
344;344;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;111;19;1,56052E+13;2;weil_es_fm;sorgen sich um;object;f; m;es; weil;Alisa sorgte sich um Alexander, weil;er zu viel trank;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1174;77;Selected;Alisa;Alexander
345;345;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;8;19;1,56052E+13;2;sodass_se_mf;erschüttern;object;m; f;se; sodass;Alexander erschütterte Alisa, sodass;sie weinte;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;931;46;Selected;Alexander;Alisa
346;346;102;1;Experiment;23;female;rechts;97753;72074;keine;ja;female;72;20;1,56052E+13;2;weil_se_mf;erschrecken;subject;m; f;se; weil;Albert erschreckte Aisha, weil;er das lustig fand;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;465;65;Selected;Albert;Aisha
347;347;103;1;Experiment;32;male;rechts;27472;72074;keine;ja;male;7;1;1,56055E+13;2;sodass_es_mf;verachten;subject;m; f;es; sodass;Lars verachtete Johanna, sodass;er sie mied, wann immer er konnte;sinnvoll;zwei;so;NP1;Subjekt;kongruent;pers;1;ja;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1934;85;Selected;Lars;Johanna
348;348;103;1;Experiment;32;male;rechts;27472;72074;keine;ja;male;69;2;1,56055E+13;2;weil_es_mf;verehren;object;m; f;es; weil;Patrick verehrte Anastasia, weil;sie das Schönste war, das er in seinem ganzen Leben erlebt hatte;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;ja;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;727;101;Selected;Patrick;Anastasia
349;349;103;1;Experiment;32;male;rechts;27472;72074;keine;ja;male;15;3;1,56055E+13;2;weil_es_fm;verabscheuen;object;f; m;es; weil;Simone verabscheute Michael, weil;er ständig unangebrachte Witze riss;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1819;88;Selected;Simone;Michael
350;350;103;1;Experiment;32;male;rechts;27472;72074;keine;ja;male;119;3;1,56055E+13;2;sodass_se_mf;enttäuschen;object;m; f;se; sodass;Michael enttäuschte Simone, sodass;sie beschloss, sich nach einem anderen umzusehen;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;ja;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;329;120;Selected;Michael;Simone
351;351;103;1;Experiment;32;male;rechts;27472;72074;keine;ja;male;35;4;1,56055E+13;2;weil_se_mf;inspirieren;subject;m; f;se; weil;Kevin inspirierte Saskia, weil;er ein Mensch war, der... anders war als die meisten anderen, die sie bis dato getroffen hatte;sinnvoll;zwei;so;NP1;Subjekt;kongruent;pers;1;ja;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1271;94;Selected;Kevin;Saskia
352;352;103;1;Experiment;32;male;rechts;27472;72074;keine;ja;male;13;4;1,56055E+13;2;sodass_es_fm;respektieren;subject;f; m;es; sodass;Saskia respektierte Kevin, sodass;sie auf alle seine Ratschläge hörte;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;126;87;Selected;Saskia;Kevin
353;353;103;1;Experiment;32;male;rechts;27472;72074;keine;ja;male;49;5;1,56055E+13;2;weil_se_fm;bezaubern;subject;f; m;se; weil;Martha bezauberte Tim, weil;sie insgeheim eine Hexe war;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1920;99;Selected;Martha;Tim
354;354;103;1;Experiment;32;male;rechts;27472;72074;keine;ja;male;73;5;1,56055E+13;2;sodass_es_mf;vergöttern;subject;m; f;es; sodass;Tim vergötterte Martha, sodass;er am Boden zerstört war, als er erfuhr, dass ihre Familie wegziehen würde;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;ja;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;17;102;Selected;Tim;Martha
355;355;103;1;Experiment;32;male;rechts;27472;72074;keine;ja;male;62;7;1,56055E+13;2;weil_es_fm;schätzen;object;f; m;es; weil;Lena schätzte Oliver, weil;er stets an ihrer Seite war, wenn sie ihn brauchte;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;ja;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;568;100;Selected;Lena;Oliver
356;356;103;1;Experiment;32;male;rechts;27472;72074;keine;ja;male;82;8;1,56055E+13;2;sodass_es_fm;mögen;subject;f; m;es; sodass;Jennifer mochte Tobias, sodass;es für niemanden ein Wunder war, als sie ihn endlich ansprach;sinnvoll;zwei;so;NP1;Subjekt;kongruent;pers;1;ja;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;936;108;Selected;Jennifer;Tobias
