Condition_Code;Connective;Experiment;Gender_NP1;Gender_NP2;Human;Item;List;Prompt;Verbtype;list;ChatGPT
3;weil;1;f;m;Johanna verachtete Lars, weil er sie betrogen hatte;1;3;Johanna verachtete Lars, weil ...;ES;1;Johanna verachtete Lars, weil er sie immer wieder belog und ihr Vertrauen missbrauchte.
4;weil;1;m;f;Michael verabscheute Simone, weil sie allen gegenüber so arrogant war;3;2;Michael verabscheute Simone, weil ...;ES;1;Michael verabscheute Simone, weil sie ihn ständig kritisierte.
8;sodass;1;m;f;Tim vergötterte Martha, sodass es fast schon peinlich wurde;5;1;Tim vergötterte Martha, sodass ...;ES;1;Tim vergötterte Martha, sodass er alles tat, um sie glücklich zu machen.
4;weil;1;m;f;Jacob bemitleidete Melanie, weil sie schlecht in Mathe war.;13;4;Jacob bemitleidete Melanie, weil ...;ES;1;Jacob bemitleidete Melanie, weil sie ihren Job verloren hatte.
5;sodass;1;f;m;Anastasia faszinierte Patrick, sodass er ganz hin und weg war.;2;1;Anastasia faszinierte Patrick, sodass ...;SE;1;Anastasia faszinierte Patrick, sodass er ständig an sie denken musste.
6;sodass;1;m;f;Klaus erstaunte Marie, sodass sie sich länger nicht von dem Schrecken erholte.;18;4;Klaus erstaunte Marie, sodass ...;SE;1;Klaus erstaunte Marie, sodass sie sprachlos war.
8;sodass;1;m;f;Jacob bemitleidete Melanie, sodass sie dich zurückzog.;13;1;Jacob bemitleidete Melanie, sodass ...;ES;1;Jacob bemitleidete Melanie, sodass sie Trost bei ihm suchte.
2;weil;1;m;f;Patrick faszinierte Anastasia, weil er so lange Beine hatte.;2;3;Patrick faszinierte Anastasia, weil ...;SE;1;Patrick faszinierte Anastasia, weil er eine geheimnisvolle Aura hatte und sie mit seinen Geschichten in den Bann zog.
4;weil;1;m;f;Felix vermisste Marike, weil sie schon seit ein paar Monaten im Ausland war.;17;4;Felix vermisste Marike, weil ...;ES;1;Felix vermisste Marike, weil sie seine beste Freundin und Lichtblick im Alltag war.
5;sodass;1;f;m;Alisa erschütterte Alexander, sodass dieser sich erst einmal setzen musste.;19;2;Alisa erschütterte Alexander, sodass ...;SE;1;Alisa erschütterte Alexander, sodass er sprachlos stehenblieb.
8;sodass;1;m;f;Rüdiger fürchtete Katharina, sodass sie Karate lernte.;15;3;Rüdiger fürchtete Katharina, sodass ...;ES;1;Rüdiger fürchtete Katharina, sodass er meistens vermied, ihr direkt in die Augen zu schauen.
1;weil;1;f;m;Jana verwirrte Daniel, weil sie ihm nichts konkretes erzählte;6;2;Jana verwirrte Daniel, weil ...;SE;1;Jana verwirrte Daniel, weil sie plötzlich ihre Meinung änderte.
2;weil;1;m;f;Daniel verwirrte Jana, weil er plötzlich keine Lust mehr auf Minigolf hat.;6;3;Daniel verwirrte Jana, weil ...;SE;1;Daniel verwirrte Jana, weil er ihr widersprüchliche Informationen gab.
7;sodass;1;f;m;Anastasia verehrte Patrick, sodass er Abstand zu ihr hielt.;2;3;Anastasia verehrte Patrick, sodass ...;ES;1;Anastasia verehrte Patrick, sodass sie ihm jeden Wunsch von den Augen ablas.
8;sodass;1;m;f;Tobias mochte Jennifer, sodass er ihr ein Geschenk machte.;8;4;Tobias mochte Jennifer, sodass ...;ES;1;Tobias mochte Jennifer, sodass er häufig ihre Nähe suchte.
4;weil;1;m;f;Klaus ekelte sich vor Marie, weil sie schlecht roch.;18;1;Klaus ekelte sich vor Marie, weil ...;ES;1;Klaus ekelte sich vor Marie, weil sie eine Spinne in der Hand hielt.
6;sodass;1;m;f;Dennis entzückte Stefanie, sodass sie fröhlich gestimmt war.;16;2;Dennis entzückte Stefanie, sodass ...;SE;1;Dennis entzückte Stefanie, sodass sie lächelte und ihre Augen vor Freude strahlten.
7;sodass;1;f;m;Annemarie hasste Malte, sodass sie beide nicht miteinander reden;9;2;Annemarie hasste Malte, sodass ...;ES;1;Annemarie hasste Malte, sodass sie jedes Treffen mit ihm vermied.
8;sodass;1;m;f;Lars verachtete Johanna, sodass Er sie ignorierte;1;1;Lars verachtete Johanna, sodass ...;ES;1;Lars verachtete Johanna, sodass er jede Gelegenheit nutzte, um ihr das Leben schwer zu machen.
1;weil;1;f;m;Katharina ängstigte Rüdiger, weil Rüdiger ein Angsthase ist und vor jedem Mist Angst hat.;15;3;Katharina ängstigte Rüdiger, weil ...;SE;1;Katharina ängstigte Rüdiger, weil sie ein Geheimnis über ihn wusste.
2;weil;1;m;f;Robin beeindruckte Adele, weil er Klimmzüge machte.;10;3;Robin beeindruckte Adele, weil ...;SE;1;Robin beeindruckte Adele, weil er auf der Gitarre ein wunderschönes Lied spielte.
4;weil;1;m;f;Kevin respektierte Saskia, weil sie sich gut in die Gruppe inteegrierte.;4;3;Kevin respektierte Saskia, weil ...;ES;1;Kevin respektierte Saskia, weil sie immer ehrlich und fair war.
5;sodass;1;f;m;Stefanie entzückte Dennis, sodass sie ihn küsste;16;3;Stefanie entzückte Dennis, sodass ...;SE;1;Stefanie entzückte Dennis, sodass er sich in sie verliebte.
3;weil;1;f;m;Anastasia verehrte Patrick, weil er eine Reihe ausgezeichneter Eigenschaften aufwies.;2;4;Anastasia verehrte Patrick, weil ...;ES;1;Anastasia verehrte Patrick, weil er stets gut zu ihr war und sie mit Respekt behandelte.
4;weil;1;m;f;Robin achtete Adele, weil sie gut war;10;1;Robin achtete Adele, weil ...;ES;1;Robin achtete Adele, weil sie immer hilfsbereit und freundlich war.
5;sodass;1;f;m;Anna begeisterte Armin, sodass er von ihr schwärmte;11;2;Anna begeisterte Armin, sodass ...;SE;1;Anna begeisterte Armin, sodass er ein breites Lächeln auf seinem Gesicht hatte.
7;sodass;1;f;m;Aisha bedauerte Albert, sodass man schon genervt davon war.;20;1;Aisha bedauerte Albert, sodass ...;ES;1;Aisha bedauerte Albert, sodass sie ihm anbot, das Wochenende gemeinsam zu verbringen.
2;weil;1;m;f;Dennis entzückte Stefanie, weil sie so schöne Locken hatte.;16;1;Dennis entzückte Stefanie, weil ...;SE;1;Dennis entzückte Stefanie, weil er ihr ein wunderschönes Geschenk machte.
3;weil;1;f;m;Marie ekelte sich vor Klaus, weil dieser eine schlechte Körperhygiene hat;18;4;Marie ekelte sich vor Klaus, weil ...;ES;1;Marie ekelte sich vor Klaus, weil er sich nie wusch und immer dreckige Kleidung trug.
7;sodass;1;f;m;Jana misstraute Daniel, sodass Dieser sich was einfallen lassen musste, dass sie ihm wieder vertrauen konnte.;6;3;Jana misstraute Daniel, sodass ...;ES;1;Jana misstraute Daniel, sodass sie Abstand zu ihm hielt und ihre Geheimnisse für sich behielt.
8;sodass;1;m;f;Robin achtete Adele, sodass sie sich gut fühlte.;10;2;Robin achtete Adele, sodass ...;ES;1;Robin achtete Adele, sodass sie ihm vertraute.
