Fall_Nr.;Liste;VP-Nr;Alter;Geschlecht;Muttersprache deutsch;weitere Muttersprachen;Händigkeit;Item;Condition;Unnamed: 10;Prompt;Fortsetzung;Art der Fortsetzung;Bias;Form der 1. Anapher;Kommentar;Timestamp;Torgrim_Art_Fortsetzung;Torgrim_Bias;Torgrim_Anapherntyp;Unnamed: 21;Human;ChatGPT
57;Liste4;1;24;m;deutsch;nein;rechts;57;4;<id: item 57, condition 4>;Die Kathrin störte den Max über alle Maßen während der Höhlenerkundung, weil ;sie ständig redete und alles besser wusste.;1;subjekt;pers;;14055977510539.0;;;;;Die Kathrin störte den Max über alle Maßen während der Höhlenerkundung, weil sie ständig redete und alles besser wusste.;Die Kathrin störte den Max über alle Maßen während der Höhlenerkundung, weil 
550;Liste3;10;28;f;deutsch;nein;rechts;10;2;<id: item 10, condition 2>;Die Jessica misstraute dem Steffen wegen der Spendenaffäre im Herbst, weil ;sie der Meinung ist, dass er hinter allem steckt.;1;subjekt;pers;;14055945902603.0;;;;;Die Jessica misstraute dem Steffen wegen der Spendenaffäre im Herbst, weil sie der Meinung ist, dass er hinter allem steckt.;Die Jessica misstraute dem Steffen wegen der Spendenaffäre im Herbst, weil 
2023;Liste4;34;25;m;deutsch;nein;rechts;43;2;<id: item 43, condition 2>;Die Julia beeindruckte den Andreas mit Kopfrechenkünsten beim Wurzelziehen, weil ;er für alles den Taschenrechner nimmt.;1;objekt;pers;;14055967419514.0;;;;;Die Julia beeindruckte den Andreas mit Kopfrechenkünsten beim Wurzelziehen, weil er für alles den Taschenrechner nimmt.;Die Julia beeindruckte den Andreas mit Kopfrechenkünsten beim Wurzelziehen, weil 
1985;Liste4;34;25;m;deutsch;nein;rechts;5;4;<id: item 5, condition 4>;Die Emma bewunderte den Phillip seit längerer Zeit über alle Maßen, weil ;er alle Namen der Pflanzen kennt.;1;objekt;pers;;14055959650852.0;;;;;Die Emma bewunderte den Phillip seit längerer Zeit über alle Maßen, weil er alle Namen der Pflanzen kennt.;Die Emma bewunderte den Phillip seit längerer Zeit über alle Maßen, weil 
1640;Liste1;28;22;f;deutsch;nein;rechts;20;2;<id: item 20, condition 2>;Die Verena vertraute dem Tobias wegen der stoischen Ruhe bei Not-OPs, weil ;er sichere Schnitte setzt;1;objekt;pers;;14055953450112.0;1;objekt;pers;;Die Verena vertraute dem Tobias wegen der stoischen Ruhe bei Not-OPs, weil er sichere Schnitte setzt;Die Verena vertraute dem Tobias wegen der stoischen Ruhe bei Not-OPs, weil 
1601;Liste3;27;20;f;deutsch;Bosnisch;rechts;41;3;<id: item 41, condition 3>;Der Fabian amüsierte die Amelia von den Institutsangehörigen am Meisten, weil ;er dumme Witze riss.;1;subjekt;pers;;14055960949133.0;;;;;Der Fabian amüsierte die Amelia von den Institutsangehörigen am Meisten, weil er dumme Witze riss.;Der Fabian amüsierte die Amelia von den Institutsangehörigen am Meisten, weil 
1742;Liste2;30;24;f;deutsch;nein;rechts;2;1;<id: item 2, condition 1>;Der Sebastian bedauerte die Laura für die schlechte Note in Mathematik, weil ;er seine gute Note eigentlich erschwindelt hat.;1;subjekt;pers;;14055963044859.0;;;;;Der Sebastian bedauerte die Laura für die schlechte Note in Mathematik, weil er seine gute Note eigentlich erschwindelt hat.;Der Sebastian bedauerte die Laura für die schlechte Note in Mathematik, weil 
283;Liste2;5;31;m;deutsch;nein;rechts;43;4;<id: item 43, condition 4>;Die Julia beeindruckte den Andreas wieder und wieder über alle Maßen, weil ;sie gut kopfrechnen kann.;1;subjekt;pers;;14056045015324.0;;;;;Die Julia beeindruckte den Andreas wieder und wieder über alle Maßen, weil sie gut kopfrechnen kann.;Die Julia beeindruckte den Andreas wieder und wieder über alle Maßen, weil 
102;Liste3;2;20;f;deutsch;nein;rechts;42;2;<id: item 42, condition 2>;Die Anne ängstigte den Leon durch aggressives Verhalten gegenüber den Teilnehmern, weil ;er sich Sorgen machte sie könnte handgreiflich werden, was dem Camp ärger einbringen könnte. ;1;objekt;pers;;14056051183175.0;1;objekt;pers;;Die Anne ängstigte den Leon durch aggressives Verhalten gegenüber den Teilnehmern, weil er sich Sorgen machte sie könnte handgreiflich werden, was dem Camp ärger einbringen könnte. ;Die Anne ängstigte den Leon durch aggressives Verhalten gegenüber den Teilnehmern, weil 
2266;Liste2;38;23;m;deutsch;nein;links;46;1;<id: item 46, condition 1>;Der Timo bezauberte die Marlene durch das schöne Harfenspiel im Schulorchester, weil ;er sie gerne hat.;2;subjekt;pers;;14056006421808.0;;;;;Der Timo bezauberte die Marlene durch das schöne Harfenspiel im Schulorchester, weil er sie gerne hat.;Der Timo bezauberte die Marlene durch das schöne Harfenspiel im Schulorchester, weil 
678;Liste1;12;20;f;deutsch;Englisch;rechts;18;4;<id: item 18, condition 4>;Die Maja vergötterte den Dennis mehr als jede andere Person, weil ;er so schön Singen konnte.;1;objekt;pers;;14055975285337.0;1;objekt;pers;;Die Maja vergötterte den Dennis mehr als jede andere Person, weil er so schön Singen konnte.;Die Maja vergötterte den Dennis mehr als jede andere Person, weil 
885;Liste2;15;24;f;deutsch;nein;rechts;45;2;<id: item 45, condition 2>;Die Annika erschütterte den Pascal durch einen Selbstmordversuch mit einem Mix aus Tabletten, weil ;ihr Freund sie verlassen hat.;1;subjekt;poss;;14056009678142.0;;;;;Die Annika erschütterte den Pascal durch einen Selbstmordversuch mit einem Mix aus Tabletten, weil ihr Freund sie verlassen hat.;Die Annika erschütterte den Pascal durch einen Selbstmordversuch mit einem Mix aus Tabletten, weil 
73;Liste3;2;20;f;deutsch;nein;rechts;13;3;<id: item 13, condition 3>;Der Julian schätzte die Carina in außerordentlich hohem Maße, weil ;sie sehr kompetent war. ;1;objekt;pers;;14056042917386.0;;;;;Der Julian schätzte die Carina in außerordentlich hohem Maße, weil sie sehr kompetent war. ;Der Julian schätzte die Carina in außerordentlich hohem Maße, weil 
2158;Liste3;36;21;m;deutsch (im Kindergarten);Türkisch;rechts;58;2;<id: item 58, condition 2>;Die Helene überraschte den Ramon mit einem ausgefallenen Geschenk zum Geburtstag, weil ;er ihr ein neues Auto schenkte.;2;objekt;pers;;14056033127306.0;;;;;Die Helene überraschte den Ramon mit einem ausgefallenen Geschenk zum Geburtstag, weil er ihr ein neues Auto schenkte.;Die Helene überraschte den Ramon mit einem ausgefallenen Geschenk zum Geburtstag, weil 
653;Liste1;11;25;m;deutsch;nein;rechts;53;1;<id: item 53, condition 1>;Der Thomas inspirierte die Rosa durch eine Vortragsreihe mit bahnbrechenden Erkenntnissen, weil ;er ihr eine Freude machen wollte.;ns;;;;14055082738443.0;;;;;Der Thomas inspirierte die Rosa durch eine Vortragsreihe mit bahnbrechenden Erkenntnissen, weil er ihr eine Freude machen wollte.;Der Thomas inspirierte die Rosa durch eine Vortragsreihe mit bahnbrechenden Erkenntnissen, weil 
1579;Liste3;27;20;f;deutsch;Bosnisch;rechts;19;1;<id: item 19, condition 1>;Der David vermisste die Luise für die netten Gespräche an lauen Sommerabenden, weil ;er nun alleine in einer Wohnung lebte und sich einsam fühlte. ;1;subjekt;pers;;14055962860253.0;;;;;Der David vermisste die Luise für die netten Gespräche an lauen Sommerabenden, weil er nun alleine in einer Wohnung lebte und sich einsam fühlte. ;Der David vermisste die Luise für die netten Gespräche an lauen Sommerabenden, weil 
1915;Liste1;32;24;f;deutsch;nein;rechts;55;3;<id: item 55, condition 3>;Der Oliver langweilte die Sabrina über jedes erträgliche Maß hinaus, weil ;er immer nur Kalauer erzählte.;1;subjekt;pers;;14055935703638.0;1;subjekt;pers;;Der Oliver langweilte die Sabrina über jedes erträgliche Maß hinaus, weil er immer nur Kalauer erzählte.;Der Oliver langweilte die Sabrina über jedes erträgliche Maß hinaus, weil 
703;Liste1;12;20;f;deutsch;Englisch;rechts;43;3;<id: item 43, condition 3>;Der Andreas beeindruckte die Julia wieder und wieder über alle Maßen, weil ;er sehr kompetent ist.;1;subjekt;pers;;1405597697191.0;;;;;Der Andreas beeindruckte die Julia wieder und wieder über alle Maßen, weil er sehr kompetent ist.;Der Andreas beeindruckte die Julia wieder und wieder über alle Maßen, weil 
644;Liste1;11;25;m;deutsch;nein;rechts;44;2;<id: item 44, condition 2>;Die Leonie begeisterte den Nikolas mit dem  besonders schönen Gesang beim Karaoke, weil ;alle anderen so schlecht gesungen haben.;0;;;;14055065330109.0;;;;;Die Leonie begeisterte den Nikolas mit dem  besonders schönen Gesang beim Karaoke, weil alle anderen so schlecht gesungen haben.;Die Leonie begeisterte den Nikolas mit dem  besonders schönen Gesang beim Karaoke, weil 
183;Liste4;4;24;m;deutsch;nein;rechts;3;2;<id: item 3, condition 2>;Die Sonja bemitleidete den Patrick wegen der starken Grippe mit hohem Fieber, weil ;er 200â‚¬ für einen Skipass zum Fenster raus warf. ;1;objekt;pers;;14061200279124.0;;;;;Die Sonja bemitleidete den Patrick wegen der starken Grippe mit hohem Fieber, weil er 200â‚¬ für einen Skipass zum Fenster raus warf. ;Die Sonja bemitleidete den Patrick wegen der starken Grippe mit hohem Fieber, weil 
1091;Liste2;19;24;f;deutsch;ja;rechts;11;4;<id: item 11, condition 4>;Die Eva mochte den Mark vom ersten Augenblick der Konferenz an, weil ;sie beide den gleichen Humor teilten.;pl;;;;14055972895261.0;pl;;;;Die Eva mochte den Mark vom ersten Augenblick der Konferenz an, weil sie beide den gleichen Humor teilten.;Die Eva mochte den Mark vom ersten Augenblick der Konferenz an, weil 
1448;Liste1;25;37;f;deutsch;nein;rechts;8;2;<id: item 8, condition 2>;Die Jasmin hasste den Christian für die extrem fiesen Sprüche über die Brille, weil ;sie selbst ihre Brille nicht leiden konnte.;1;subjekt;pers;;1405509797.32;;;;;Die Jasmin hasste den Christian für die extrem fiesen Sprüche über die Brille, weil sie selbst ihre Brille nicht leiden konnte.;Die Jasmin hasste den Christian für die extrem fiesen Sprüche über die Brille, weil 
19;Liste4;1;24;m;deutsch;nein;rechts;19;2;<id: item 19, condition 2>;Die Luise vermisste den David für die netten Gespräche an lauen Sommerabenden, weil ;sie sich bei ihm immer geborgen und zuhause fühlte.;2;subjekt;pers;;14055986377901.0;2;subjekt;pers;;Die Luise vermisste den David für die netten Gespräche an lauen Sommerabenden, weil sie sich bei ihm immer geborgen und zuhause fühlte.;Die Luise vermisste den David für die netten Gespräche an lauen Sommerabenden, weil 
411;Liste4;7;22;m;deutsch;nein;rechts;51;2;<id: item 51, condition 2>;Die Heidi erstaunte den Benedikt durch ein Jonglierkunststück mit sieben Bällen, weil ;er nicht dachte, das so etwas möglich wäre.;1;objekt;pers;;14055942449417.0;;;;;Die Heidi erstaunte den Benedikt durch ein Jonglierkunststück mit sieben Bällen, weil er nicht dachte, das so etwas möglich wäre.;Die Heidi erstaunte den Benedikt durch ein Jonglierkunststück mit sieben Bällen, weil 
1632;Liste1;28;22;f;deutsch;nein;rechts;12;2;<id: item 12, condition 2>;Die Katharina respektierte den Peter für die sachliche Art zu diskutieren, weil ;das an der VHS eine Seltenheit ist;0;;;;14055954940285.0;0;;;;Die Katharina respektierte den Peter für die sachliche Art zu diskutieren, weil das an der VHS eine Seltenheit ist;Die Katharina respektierte den Peter für die sachliche Art zu diskutieren, weil 
585;Liste3;10;28;f;deutsch;nein;rechts;45;3;<id: item 45, condition 3>;Der Pascal erschütterte die Annika vor wenigen Tagen in außerordentlich starkem Maße, weil ;er ihr plötzlich seine langjährige Liebe gestand.;2;subjekt;pers;;14055945584204.0;;;;;Der Pascal erschütterte die Annika vor wenigen Tagen in außerordentlich starkem Maße, weil er ihr plötzlich seine langjährige Liebe gestand.;Der Pascal erschütterte die Annika vor wenigen Tagen in außerordentlich starkem Maße, weil 
2099;Liste1;35;24;m;deutsch;nein;rechts;59;3;<id: item 59, condition 3>;Der Kevin verblüffte die Jennifer in der vorletzten Woche aufs Allerheftigste, weil ;er plötzlich mit einem anderen Kollegen Aufträge bearbeitete;1;subjekt;pers;;1405602353161.0;;;;;Der Kevin verblüffte die Jennifer in der vorletzten Woche aufs Allerheftigste, weil er plötzlich mit einem anderen Kollegen Aufträge bearbeitete;Der Kevin verblüffte die Jennifer in der vorletzten Woche aufs Allerheftigste, weil 
1153;Liste4;20;29;f;deutsch;nein;rechts;13;4;<id: item 13, condition 4>;Die Carina schätzte den Julian in außerordentlich hohem Maße, weil ;er anders als die andern Kollegen nie irgendwelche sexistischen Sprüche loslässt.;1;objekt;pers;;14056049843373.0;;;;;Die Carina schätzte den Julian in außerordentlich hohem Maße, weil er anders als die andern Kollegen nie irgendwelche sexistischen Sprüche loslässt.;Die Carina schätzte den Julian in außerordentlich hohem Maße, weil 
2092;Liste1;35;24;m;deutsch;nein;rechts;52;2;<id: item 52, condition 2>;Die Judith faszinierte den Benjamin durch einen schwungvollen Tanzstil voller Ausgelassenheit, weil ;er das nicht von ihr erwartet hatte;2;objekt;pers;;14056023089363.0;;;;;Die Judith faszinierte den Benjamin durch einen schwungvollen Tanzstil voller Ausgelassenheit, weil er das nicht von ihr erwartet hatte;Die Judith faszinierte den Benjamin durch einen schwungvollen Tanzstil voller Ausgelassenheit, weil 
859;Liste2;15;24;f;deutsch;nein;rechts;19;4;<id: item 19, condition 4>;Die Luise vermisste den David besonders oft an den lauen Sommerabenden, weil ;sie an diesem Abenden immer miteinander auf der Terasse geknuscht hatten.;pl;;;;14056007971498.0;;;;;Die Luise vermisste den David besonders oft an den lauen Sommerabenden, weil sie an diesem Abenden immer miteinander auf der Terasse geknuscht hatten.;Die Luise vermisste den David besonders oft an den lauen Sommerabenden, weil 
1603;Liste3;27;20;f;deutsch;Bosnisch;rechts;43;1;<id: item 43, condition 1>;Der Andreas beeindruckte die Julia mit Kopfrechenkünsten beim Wurzelziehen, weil ;sie schon immer schlecht in Mathe war. ;1;objekt;pers;;14055959325204.0;;;;;Der Andreas beeindruckte die Julia mit Kopfrechenkünsten beim Wurzelziehen, weil sie schon immer schlecht in Mathe war. ;Der Andreas beeindruckte die Julia mit Kopfrechenkünsten beim Wurzelziehen, weil 
180;Liste1;3;35;m;deutsch;nein;rechts;60;2;<id: item 60, condition 2>;Die Paula verwirrte den Manuel durch eine unverständliche Erklärung über Computer Betriebssysteme, weil ;sie das technische versdtändnis einer 3jährigen hat;1;subjekt;pers;;14061193949297.0;;;;;Die Paula verwirrte den Manuel durch eine unverständliche Erklärung über Computer Betriebssysteme, weil sie das technische versdtändnis einer 3jährigen hat;Die Paula verwirrte den Manuel durch eine unverständliche Erklärung über Computer Betriebssysteme, weil 
378;Liste4;7;22;m;deutsch;nein;rechts;18;3;<id: item 18, condition 3>;Der Dennis vergötterte die Maja mehr als jede andere Person, weil ;sie so eine wundervolle Stimme hat.;1;objekt;pers;;14055941303448.0;;;;;Der Dennis vergötterte die Maja mehr als jede andere Person, weil sie so eine wundervolle Stimme hat.;Der Dennis vergötterte die Maja mehr als jede andere Person, weil 
1135;Liste2;19;24;f;deutsch;ja;rechts;55;4;<id: item 55, condition 4>;Die Sabrina langweilte den Oliver über jedes erträgliche Maß hinaus, weil ;sie ständig nur Geschichten aus ihrem langweiligen Job erzählte.;1;subjekt;pers;;14055978666215.0;;;;;Die Sabrina langweilte den Oliver über jedes erträgliche Maß hinaus, weil sie ständig nur Geschichten aus ihrem langweiligen Job erzählte.;Die Sabrina langweilte den Oliver über jedes erträgliche Maß hinaus, weil 
181;Liste4;4;24;m;deutsch;nein;rechts;1;4;<id: item 1, condition 4>;Die Elena achtete den Bastian mehr als jeden anderen WG-Mitbewohner, weil ;er jede Woche die Küche putzte.;1;objekt;pers;;14061201314149.0;1;objekt;pers;;Die Elena achtete den Bastian mehr als jeden anderen WG-Mitbewohner, weil er jede Woche die Küche putzte.;Die Elena achtete den Bastian mehr als jeden anderen WG-Mitbewohner, weil 
2040;Liste4;34;25;m;deutsch;nein;rechts;60;1;<id: item 60, condition 1>;Der Manuel verwirrte die Paula durch eine unverständliche Erklärung über Computer Betriebssysteme, weil ;sie doch eigentlich viel darüber wusste.;1;objekt;pers;;14055960603686.0;1;objekt;pers;nicht sinnvoll?;Der Manuel verwirrte die Paula durch eine unverständliche Erklärung über Computer Betriebssysteme, weil sie doch eigentlich viel darüber wusste.;Der Manuel verwirrte die Paula durch eine unverständliche Erklärung über Computer Betriebssysteme, weil 
1372;Liste2;23;22;m;deutsch;nein;rechts;52;3;<id: item 52, condition 3>;Der Benjamin faszinierte die Judith seit dem Betriebsfest auf eine besondere Art und Weise, weil ;er über eine Weltreise erzählte.;1;subjekt;pers;;14055974114483.0;1;subjekt;pers;;Der Benjamin faszinierte die Judith seit dem Betriebsfest auf eine besondere Art und Weise, weil er über eine Weltreise erzählte.;Der Benjamin faszinierte die Judith seit dem Betriebsfest auf eine besondere Art und Weise, weil 
950;Liste3;16;21;f;deutsch;nein;rechts;50;2;<id: item 50, condition 2>;Die Annalena erschreckte den Yannik durch irre Grimassen und Schreie, weil ;dieser damit nicht gerechnet hatte.;1;objekt;sonstig;;14055088973092.0;;;;;Die Annalena erschreckte den Yannik durch irre Grimassen und Schreie, weil dieser damit nicht gerechnet hatte.;Die Annalena erschreckte den Yannik durch irre Grimassen und Schreie, weil 
2159;Liste3;36;21;m;deutsch (im Kindergarten);Türkisch;rechts;59;1;<id: item 59, condition 1>;Der Kevin verblüffte die Jennifer durch einen unerwarteten Kuss auf den Mund, weil ;beide besoffen entlang dem Fluss liefen.;pl;;;;14056025761746.0;;;;;Der Kevin verblüffte die Jennifer durch einen unerwarteten Kuss auf den Mund, weil beide besoffen entlang dem Fluss liefen.;Der Kevin verblüffte die Jennifer durch einen unerwarteten Kuss auf den Mund, weil 
2236;Liste2;38;23;m;deutsch;nein;links;16;3;<id: item 16, condition 3>;Der Daniel verachtete die Jacqueline seit vielen Jahren nun schon in allerhöchstem Grade, weil ;sie eine Frau ist.;1;objekt;pers;;14056011969509.0;;;;;Der Daniel verachtete die Jacqueline seit vielen Jahren nun schon in allerhöchstem Grade, weil sie eine Frau ist.;Der Daniel verachtete die Jacqueline seit vielen Jahren nun schon in allerhöchstem Grade, weil 
1025;Liste3;18;24;f;deutsch;nein;rechts;5;3;<id: item 5, condition 3>;Der Phillip bewunderte die Emma seit längerer Zeit über alle Maßen, weil ;sie die Eigenschaften dieser Blumen kennt.;1;objekt;pers;;14056007489004.0;;;;;Der Phillip bewunderte die Emma seit längerer Zeit über alle Maßen, weil sie die Eigenschaften dieser Blumen kennt.;Der Phillip bewunderte die Emma seit längerer Zeit über alle Maßen, weil 
588;Liste3;10;28;f;deutsch;nein;rechts;48;4;<id: item 48, condition 4>;Die Stefanie entzückte den Tom bei einem Besuch vorgestern über alle Maßen, weil ;sie ein wunderschönes rotes Kleid trug.;1;subjekt;pers;;14055939568261.0;1;subjekt;pers;"Dieses Prompt finde ich syntaktisch zu schwer gegen Ende: ""bei einem Besuch vorgestern über alle Maßen"", sehr untypische Adverbialreihenfolge";Die Stefanie entzückte den Tom bei einem Besuch vorgestern über alle Maßen, weil sie ein wunderschönes rotes Kleid trug.;Die Stefanie entzückte den Tom bei einem Besuch vorgestern über alle Maßen, weil 
1196;Liste4;20;29;f;deutsch;nein;rechts;56;1;<id: item 56, condition 1>;Der Niko schockierte die Johanna durch eine Striptease Einlage nach dem Essen, weil ;sie das nun wirklich nicht hatte kommen sehen.;1;objekt;pers;;14056040936803.0;1;objekt;pers;;Der Niko schockierte die Johanna durch eine Striptease Einlage nach dem Essen, weil sie das nun wirklich nicht hatte kommen sehen.;Der Niko schockierte die Johanna durch eine Striptease Einlage nach dem Essen, weil 
123;Liste1;3;35;m;deutsch;nein;rechts;3;3;<id: item 3, condition 3>;Der Patrick bemitleidete die Sonja bei der Faschingsausfahrt aus tiefstem Herzen, weil ;sie nicht mitkonnte;1;objekt;pers;;14061199446573.0;;;;;Der Patrick bemitleidete die Sonja bei der Faschingsausfahrt aus tiefstem Herzen, weil sie nicht mitkonnte;Der Patrick bemitleidete die Sonja bei der Faschingsausfahrt aus tiefstem Herzen, weil 
594;Liste3;10;28;f;deutsch;nein;rechts;54;2;<id: item 54, condition 2>;Die Alexandra irritierte den Lars durch merkwürdige Fragen zur Person, weil ;sie so viele Dinge über sein Haustier wissen wollte.;1;subjekt;pers;;14055937031711.0;;;;;Die Alexandra irritierte den Lars durch merkwürdige Fragen zur Person, weil sie so viele Dinge über sein Haustier wissen wollte.;Die Alexandra irritierte den Lars durch merkwürdige Fragen zur Person, weil 
1376;Liste2;23;22;m;deutsch;nein;rechts;56;3;<id: item 56, condition 3>;Der Niko schockierte die Johanna bei dem Essen auf abartige Art und Weise, weil ;er völlig betrunken ankam und sich während des Essens über den Tisch erbrochen hat.;1;subjekt;pers;;14055972344384.0;;;;;Der Niko schockierte die Johanna bei dem Essen auf abartige Art und Weise, weil er völlig betrunken ankam und sich während des Essens über den Tisch erbrochen hat.;Der Niko schockierte die Johanna bei dem Essen auf abartige Art und Weise, weil 
717;Liste1;12;20;f;deutsch;Englisch;rechts;57;1;<id: item 57, condition 1>;Der Max störte die Kathrin durch das laute Gekreische an einer Engstelle, weil ;sie davon Ohrenschmerzen bekam.;1;objekt;pers;;14055975145769.0;;;;;Der Max störte die Kathrin durch das laute Gekreische an einer Engstelle, weil sie davon Ohrenschmerzen bekam.;Der Max störte die Kathrin durch das laute Gekreische an einer Engstelle, weil 
1032;Liste3;18;24;f;deutsch;nein;rechts;12;4;<id: item 12, condition 4>;Die Katharina respektierte den Peter im Laufe der Zeit mehr und mehr, weil ;er seine Meinungen immer genau belegen kann und nie persönlich wird.;1;objekt;pers;;14056017261012.0;;;;;Die Katharina respektierte den Peter im Laufe der Zeit mehr und mehr, weil er seine Meinungen immer genau belegen kann und nie persönlich wird.;Die Katharina respektierte den Peter im Laufe der Zeit mehr und mehr, weil 
1085;Liste2;19;24;f;deutsch;ja;rechts;5;2;<id: item 5, condition 2>;Die Emma bewunderte den Phillip für die Neuzüchtung einer Orchideenart, weil ;sie Orchideen liebt.;1;subjekt;pers;;14055978415321.0;;;;;Die Emma bewunderte den Phillip für die Neuzüchtung einer Orchideenart, weil sie Orchideen liebt.;Die Emma bewunderte den Phillip für die Neuzüchtung einer Orchideenart, weil 
413;Liste4;7;22;m;deutsch;nein;rechts;53;4;<id: item 53, condition 4>;Die Rosa inspirierte den Thomas in hohem Maße bei einem neulich stattgefundenen Treffen, weil ;er innovative Methoden benutzte.;ns;;;;14055949680065.0;;;;;Die Rosa inspirierte den Thomas in hohem Maße bei einem neulich stattgefundenen Treffen, weil er innovative Methoden benutzte.;Die Rosa inspirierte den Thomas in hohem Maße bei einem neulich stattgefundenen Treffen, weil 
1142;Liste4;20;29;f;deutsch;nein;rechts;2;3;<id: item 2, condition 3>;Der Sebastian bedauerte die Laura heute Morgen ganz außerordentlich, weil ;sie zum Mathetest in die Schule musste, während er mit einem Schnupfen im Bett bleiben konnte.;1;objekt;pers;;14056051255374.0;1;objekt;pers;;Der Sebastian bedauerte die Laura heute Morgen ganz außerordentlich, weil sie zum Mathetest in die Schule musste, während er mit einem Schnupfen im Bett bleiben konnte.;Der Sebastian bedauerte die Laura heute Morgen ganz außerordentlich, weil 
228;Liste4;4;24;m;deutsch;nein;rechts;48;1;<id: item 48, condition 1>;Der Tom entzückte die Stefanie gestern mit einer selbst gebackenen Torte, weil ;Stefanie damals ein Kleid mit Torten Muster getragen hatte. ;1;objekt;name;;1406120523688.0;;;;;Der Tom entzückte die Stefanie gestern mit einer selbst gebackenen Torte, weil Stefanie damals ein Kleid mit Torten Muster getragen hatte. ;Der Tom entzückte die Stefanie gestern mit einer selbst gebackenen Torte, weil 
890;Liste2;15;24;f;deutsch;nein;rechts;50;1;<id: item 50, condition 1>;Der Yannik erschreckte die Annalena durch irre Grimassen und Schreie, weil ;er sie blöd findet,;2;subjekt;pers;;14056011116928.0;;;;;Der Yannik erschreckte die Annalena durch irre Grimassen und Schreie, weil er sie blöd findet,;Der Yannik erschreckte die Annalena durch irre Grimassen und Schreie, weil 
2088;Liste1;35;24;m;deutsch;nein;rechts;48;2;<id: item 48, condition 2>;Die Stefanie entzückte den Tom gestern mit einer selbst gebackenen Torte, weil ;sie ihn für sich gewinnen will;2;subjekt;pers;;14056028573318.0;;;;;Die Stefanie entzückte den Tom gestern mit einer selbst gebackenen Torte, weil sie ihn für sich gewinnen will;Die Stefanie entzückte den Tom gestern mit einer selbst gebackenen Torte, weil 
1630;Liste1;28;22;f;deutsch;nein;rechts;10;4;<id: item 10, condition 4>;Die Jessica misstraute dem Steffen nun schon seit geraumer Zeit, weil ;er Geld veruntreut hat;1;objekt;pers;;14055958220853.0;;;;;Die Jessica misstraute dem Steffen nun schon seit geraumer Zeit, weil er Geld veruntreut hat;Die Jessica misstraute dem Steffen nun schon seit geraumer Zeit, weil 
914;Liste3;16;21;f;deutsch;nein;rechts;14;2;<id: item 14, condition 2>;Die Melanie sorgte sich um den Florian wegen des hohen Alkoholkonsums, weil ;sie ihn nachts immer brüllen hörte und sich die Altglasflaschen vor seiner Zimmertür stapelten.;2;subjekt;pers;;14055088154053.0;2;subjekt;pers;;Die Melanie sorgte sich um den Florian wegen des hohen Alkoholkonsums, weil sie ihn nachts immer brüllen hörte und sich die Altglasflaschen vor seiner Zimmertür stapelten.;Die Melanie sorgte sich um den Florian wegen des hohen Alkoholkonsums, weil 
1875;Liste1;32;24;f;deutsch;nein;rechts;15;3;<id: item 15, condition 3>;Der Andre verabscheute die Elisabeth im Laufe der letzten Jahre in immer stärkerem Maß, weil ;sie sich zum Negativen verändert hat.;1;objekt;pers;;14055933472665.0;;;;;Der Andre verabscheute die Elisabeth im Laufe der letzten Jahre in immer stärkerem Maß, weil sie sich zum Negativen verändert hat.;Der Andre verabscheute die Elisabeth im Laufe der letzten Jahre in immer stärkerem Maß, weil 
184;Liste4;4;24;m;deutsch;nein;rechts;4;1;<id: item 4, condition 1>;Der Martin beneidete die Saskia um die guten Kontakte zum Management, weil ;er ihr den schnellen Erfolg nicht gönnt. ;2;subjekt;pers;;14061214406441.0;;;;;Der Martin beneidete die Saskia um die guten Kontakte zum Management, weil er ihr den schnellen Erfolg nicht gönnt. ;Der Martin beneidete die Saskia um die guten Kontakte zum Management, weil 
468;Liste2;8;25;f;deutsch;nein;rechts;48;3;<id: item 48, condition 3>;Der Tom entzückte die Stefanie bei einem Besuch vorgestern über alle Maßen, weil ;er sehr aufmerksam war.;1;subjekt;pers;;14055087706011.0;;;;;Der Tom entzückte die Stefanie bei einem Besuch vorgestern über alle Maßen, weil er sehr aufmerksam war.;Der Tom entzückte die Stefanie bei einem Besuch vorgestern über alle Maßen, weil 
1069;Liste3;18;24;f;deutsch;nein;rechts;49;3;<id: item 49, condition 3>;Der Armin erfreute die Nina beim gemeinsamen Training in höchstem Maße, weil ;er ihr einen neuen Sportdrink mitbrachte.;2;subjekt;pers;;14056013260327.0;2;subjekt;pers;;Der Armin erfreute die Nina beim gemeinsamen Training in höchstem Maße, weil er ihr einen neuen Sportdrink mitbrachte.;Der Armin erfreute die Nina beim gemeinsamen Training in höchstem Maße, weil 
308;Liste2;6;25;f;deutsch;nein;rechts;8;3;<id: item 8, condition 3>;Der Christian hasste die Jasmin seit mehreren Wochen aus tiefstem Herzen, weil ;sie ein mädchen ist.;1;objekt;pers;;14055934168548.0;;;;;Der Christian hasste die Jasmin seit mehreren Wochen aus tiefstem Herzen, weil sie ein mädchen ist.;Der Christian hasste die Jasmin seit mehreren Wochen aus tiefstem Herzen, weil 
