index;Fall_Nr.;Liste;VP-Nr;Alter;Geschlecht;Muttersprache deutsch;weitere Muttersprachen;Händigkeit;Item;Condition;Unnamed: 10;Prompt;Fortsetzung;Art der Fortsetzung;Bias;Form der 1. Anapher;Kommentar;Timestamp;Torgrim_Art_Fortsetzung;Torgrim_Bias;Torgrim_Anapherntyp;Unnamed: 21;Continuation_Item;prompt;np1gender;NP1;NP2;verbclass;verb;RunCondition;Human;ChatGPT
1336;1337;Liste2;23;22;m;deutsch;nein;rechts;17;2;<id: item 17, condition 2>;Die Nadine verehrte den Stephan für die Entwürfe der neuen Kollektion, weil ;er ein handwerkliches Genie ist.;1;objekt;pers;;14055976278941.0;;;;;177;Nadine verehrte Stephan für die Entwürfe der neuen Kollektion, weil;f;Nadine;Stepha;es;verehrte;1;er ein handwerkliches Genie ist.;sie innovativ und voller kreativer Details waren.
1430;1431;Liste1;24;19;m;deutsch;nein;rechts;51;3;<id: item 51, condition 3>;Der Benedikt erstaunte die Heidi in allergrößtem Ausmaß gestern bei der Show, weil ;er den dreifachen Salto stand.;1;subjekt;pers;;14055968530838.0;;;;;231;Benedikt erstaunte Heidi in allergrößtem Ausmaß gestern bei der Show, weil;m;Benedikt;Heid;se;erstaunte;4;er den dreifachen Salto stand.;er plötzlich virtuose Fähigkeiten auf dem Klavier zeigte, von denen niemand wusste.
1326;1327;Liste2;23;22;m;deutsch;nein;rechts;7;4;<id: item 7, condition 4>;Die Franziska fürchtete den Jan schon seit langer Zeit über jedes erdenkliche Maß hinaus, weil;er auch Frauen schlägt.;1;objekt;pers;;1405597006284.0;;;;;167;Franziska fürchtete Jan schon seit langer Zeit über jedes erdenkliche Maß hinaus, weil;f;Franziska;Ja;es;fürchtete;3;er auch Frauen schlägt.;er unberechenbare Wutausbrüche hatte, die sie zutiefst verängstigten.
1810;1811;Liste4;31;27;f;deutsch;Türkisch;rechts;11;2;<id: item 11, condition 2>;Die Eva mochte den Mark für den toleranten Umgang mit Fremden, weil;dies nicht selbstverständlich ist. ;0;;;;14055129605914.0;;;;;371;Eva mochte Mark für den toleranten Umgang mit Fremden, weil;f;Eva;Mar;es;mochte;1;dies nicht selbstverständlich ist. ;er stets offen und freundlich gegenüber anderen Kulturen war.
1514;1515;Liste3;26;26;f;deutsch;nein;rechts;15;1;<id: item 15, condition 1>;Der Andre verabscheute die Elisabeth für den hinterhältigen Umgang mit den Kunden, weil ;für ihn der menschenfreundliche, hilfsbereite Umgang mit dem Kunden zur Arbeitsmoral gehört.;1;subjekt;pers;;14055107559466.0;;;;;255;Andre verabscheute Elisabeth für den hinterhältigen Umgang mit den Kunden, weil;m;Andre;Elisabet;es;verabscheute;2;für ihn der menschenfreundliche, hilfsbereite Umgang mit dem Kunden zur Arbeitsmoral gehört.;sie stets lächelte, während sie ihnen insgeheim schadete.
1329;1330;Liste2;23;22;m;deutsch;nein;rechts;10;1;<id: item 10, condition 1>;Der Steffen misstraute der Jessica wegen der Spendenaffäre im Herbst, weil;sie das eigentlich gemeinsam geplant hatten, sie das ganze Geld jedoch selbst einsteckte.;pl;;;;14055968529303.0;pl;;;;170;Steffen misstraute Jessica wegen der Spendenaffäre im Herbst, weil;m;Steffen;Jessic;es;misstraute;2;sie das eigentlich gemeinsam geplant hatten, sie das ganze Geld jedoch selbst einsteckte.;sie verdächtige Transaktionen auf ihrem Konto hatten.
3;4;Liste4;1;24;m;deutsch;nein;rechts;4;1;<id: item 4, condition 1>;Der Martin beneidete die Saskia um die guten Kontakte zum Management, weil ;siedadurch befördert wurde.;1;objekt;pers;;14055988731065.0;1;objekt;pers;;4;Martin beneidete Saskia um die guten Kontakte zum Management, weil;m;Martin;Saski;es;beneidete;2;siedadurch befördert wurde.;er hoffte, dadurch selbst leichter aufsteigen und seine Karriere vorantreiben zu können.
1325;1326;Liste2;23;22;m;deutsch;nein;rechts;6;1;<id: item 6, condition 1>;Der Michael ekelte sich vor der Ellen wegen der mangelnden Hygiene vor den OPs, weil;sie sich nie die Hände wäscht und oft verschnupft zur Arbeit erscheint.;1;objekt;pers;;14055974518866.0;1;objekt;pers;;166;Michael ekelte sich vor Ellen wegen der mangelnden Hygiene vor den OPs, weil;m;Michael;Elle;es;ekelte sich vor;2;sie sich nie die Hände wäscht und oft verschnupft zur Arbeit erscheint.;sie sich nie die Hände wusch und die Instrumente nicht sterilisierte.
1806;1807;Liste4;31;27;f;deutsch;Türkisch;rechts;7;2;<id: item 7, condition 2>;Die Franziska fürchtete den Jan wegen der fiesen Kommentare über die Pickel im Gesicht, weil;sie seit gestern eine feste Zahnspange trägt.;ns;;;;14055120941928.0;;;;;367;Franziska fürchtete Jan wegen der fiesen Kommentare über die Pickel im Gesicht, weil;f;Franziska;Ja;es;fürchtete;1;sie seit gestern eine feste Zahnspange trägt.;sie dadurch sehr verunsichert wurde.
1844;1845;Liste4;31;27;f;deutsch;Türkisch;rechts;45;4;<id: item 45, condition 4>;Die Annika erschütterte den Pascal vor wenigen Tagen in außerordentlich starkem Maße, weil ;sie demnächst nach Baden-Würrttemberg ziehen will;1;subjekt;pers;;14055124719095.0;1;subjekt;pers;;385;Annika erschütterte Pascal vor wenigen Tagen in außerordentlich starkem Maße, weil;f;Annika;Pasca;se;erschütterte;3;sie demnächst nach Baden-Würrttemberg ziehen will;sie ihm unerwartet mitteilte, dass sie nach Australien auswandern würde.
1803;1804;Liste4;31;27;f;deutsch;Türkisch;rechts;4;1;<id: item 4, condition 1>;Der Martin beneidete die Saskia um die guten Kontakte zum Management, weil ;vieles über Bekanntschaften läuft und es mehr als vorteilhaft Kontakte zum Management zu haben und dann auch noch gute.;0;;;;14055130256653.0;;;;;364;Martin beneidete Saskia um die guten Kontakte zum Management, weil;m;Martin;Saski;es;beneidete;2;vieles über Bekanntschaften läuft und es mehr als vorteilhaft Kontakte zum Management zu haben und dann auch noch gute.;er hoffte, dadurch bessere Karrierechancen zu bekommen.
1802;1803;Liste4;31;27;f;deutsch;Türkisch;rechts;3;2;<id: item 3, condition 2>;Die Sonja bemitleidete den Patrick wegen der starken Grippe mit hohem Fieber, weil ;er sich so sehr auf den Ausflug gefreut hatte.;1;objekt;pers;;14055126100404.0;;;;;363;Sonja bemitleidete Patrick wegen der starken Grippe mit hohem Fieber, weil;f;Sonja;Patric;es;bemitleidete;1;er sich so sehr auf den Ausflug gefreut hatte.;er sich kaum bewegen konnte und jede Anstrengung ihn noch mehr erschöpfte.
1687;1688;Liste4;29;20;f;deutsch;nein;rechts;8;1;<id: item 8, condition 1>;Der Christian hasste die Jasmin für die extrem fiesen Sprüche über die Brille, weil ;sie selber eine noch schrecklichere Brille trug.;1;objekt;pers;;14055939685132.0;1;objekt;pers;;328;Christian hasste Jasmin für die extrem fiesen Sprüche über die Brille, weil;m;Christian;Jasmi;es;hasste;2;sie selber eine noch schrecklichere Brille trug.;sie ihn jedes Mal tief verletzten und sein Selbstbewusstsein zerstörten.
1423;1424;Liste1;24;19;m;deutsch;nein;rechts;44;2;<id: item 44, condition 2>;Die Leonie begeisterte den Nikolas mit dem  besonders schönen Gesang beim Karaoke, weil ;er nicht erwartete, dasss sie so gut singen kann.;1;objekt;pers;;1405597352917.0;;;;;224;Leonie begeisterte Nikolas mit dem  besonders schönen Gesang beim Karaoke, weil;f;Leonie;Nikola;se;begeisterte;1;er nicht erwartete, dasss sie so gut singen kann.;sie eine überraschend kraftvolle Stimme hatte, die jeden im Raum beeindruckte.
1378;1379;Liste2;23;22;m;deutsch;nein;rechts;59;4;<id: item 59, condition 4>;Die Jennifer verblüffte den Kevin in der vorletzten Woche aufs Allerheftigste, weil ;sie endlich ihre Alkoholsucht in den Griff bekommen hat.;1;subjekt;pers;;14055971735498.0;;;;;199;Jennifer verblüffte Kevin in der vorletzten Woche aufs Allerheftigste, weil;f;Jennifer;Kevi;se;verblüffte;3;sie endlich ihre Alkoholsucht in den Griff bekommen hat.;sie plötzlich fließend Mandarin sprach, ohne jemals zuvor Unterricht genommen zu haben.
829;830;Liste3;14;24;m;deutsch;nein;rechts;50;2;<id: item 50, condition 2>;Die Annalena erschreckte den Yannik durch irre Grimassen und Schreie, weil ;er eine übermässig schreckhafte Natur besass,;1;objekt;pers;;14055978873604.0;;;;;150;Annalena erschreckte Yannik durch irre Grimassen und Schreie, weil;f;Annalena;Yanni;se;erschreckte;1;er eine übermässig schreckhafte Natur besass,;sie sich einen Spaß erlauben wollte.
1857;1858;Liste4;31;27;f;deutsch;Türkisch;rechts;58;3;<id: item 58, condition 3>;Der Ramon überraschte die Helene vorgestern Nachmittag in allerhöchstem Maße, weil ;er für ihren Geburtstag alle Unterlagen die sie für heute abzuarbeiten hatte, schon bearbeitet hat, damit sie sich heute an ihrem Geburtstag einen freien Tag machen kann;1;subjekt;pers;;14055118152884.0;;;;;398;Ramon überraschte Helene vorgestern Nachmittag in allerhöchstem Maße, weil;m;Ramon;Helen;se;überraschte;4;er für ihren Geburtstag alle Unterlagen die sie für heute abzuarbeiten hatte, schon bearbeitet hat, damit sie sich heute an ihrem Geburtstag einen freien Tag machen kann;er ihr unerwartet einen handgeschriebenen Liebesbrief überreichte, den er voller Zuneigung und aufrichtiger Worte verfasst hatte.
1910;1911;Liste1;32;24;f;deutsch;nein;rechts;51;3;<id: item 51, condition 3>;Der Benedikt erstaunte die Heidi in allergrößtem Ausmaß gestern bei der Show, weil ;er so schlecht war.;1;subjekt;pers;;14055938793975.0;;;;;431;Benedikt erstaunte Heidi in allergrößtem Ausmaß gestern bei der Show, weil;m;Benedikt;Heid;se;erstaunte;4;er so schlecht war.;er plötzlich auf der Bühne ein spektakuläres Kunststück zeigte, das niemand von ihm erwartet hatte.
2146;2147;Liste3;36;21;m;deutsch (im Kindergarten);Türkisch;rechts;47;1;<id: item 47, condition 1>;Der Christoph enttäuschte die Lea durch fremdenfeindliche Witze und Parolen, weil ;er es nach Leas Meinung Ernst meinte.;1;subjekt;pers;;14056034277478.0;;;;;467;Christoph enttäuschte Lea durch fremdenfeindliche Witze und Parolen, weil;m;Christoph;Le;se;enttäuschte;2;er es nach Leas Meinung Ernst meinte.;es gegen ihre Werte und Überzeugungen verstieß.
828;829;Liste3;14;24;m;deutsch;nein;rechts;49;3;<id: item 49, condition 3>;Der Armin erfreute die Nina beim gemeinsamen Training in höchstem Maße, weil ;beim Gewichtestemmen sein arroganter Arsch geplatzt ist.;0-poss;subjekt;poss;;14055981874077.0;;;;;149;Armin erfreute Nina beim gemeinsamen Training in höchstem Maße, weil;m;Armin;Nin;se;erfreute;4;beim Gewichtestemmen sein arroganter Arsch geplatzt ist.;er sie mit seiner positiven Energie und seiner unterstützenden Art motivierte.
1875;1876;Liste1;32;24;f;deutsch;nein;rechts;16;2;<id: item 16, condition 2>;Die Jacqueline verachtete den Daniel für die Respektlosigkeit gegenüber den Mitgliedern, weil;er sich immer sehr unhöflich verhält;1;objekt;pers;;1405593194716.0;;;;;416;Jacqueline verachtete Daniel für die Respektlosigkeit gegenüber den Mitgliedern, weil;f;Jacqueline;Danie;es;verachtete;1;er sich immer sehr unhöflich verhält;er sie ständig unterbrach und ihre Meinungen ignorierte.
1373;1374;Liste2;23;22;m;deutsch;nein;rechts;54;1;<id: item 54, condition 1>;Der Lars irritierte die Alexandra durch merkwürdige Fragen zur Person, weil ;er unter anderem ihre Schuhgröße wissen wollte.;1;subjekt;pers;;14055967183759.0;;;;;194;Lars irritierte Alexandra durch merkwürdige Fragen zur Person, weil;m;Lars;Alexandr;se;irritierte;2;er unter anderem ihre Schuhgröße wissen wollte.;er heimlich für einen Überraschungstest in ihrem gemeinsamen Kurs sammelte.
1733;1734;Liste4;29;20;f;deutsch;nein;rechts;54;3;<id: item 54, condition 3>;Der Lars irritierte die Alexandra auf überaus befremdliche Art und Weise, weil ;er das Dating-System manipulierte, um die ganze Zeit bei ihr sitzen zu können.;1;subjekt;pers;;14055944347274.0;1;subjekt;pers;;354;Lars irritierte Alexandra auf überaus befremdliche Art und Weise, weil;m;Lars;Alexandr;se;irritierte;4;er das Dating-System manipulierte, um die ganze Zeit bei ihr sitzen zu können.;er ständig in Rätseln sprach und unerwartet mitten im Gespräch verschwand.
40;41;Liste4;1;24;m;deutsch;nein;rechts;41;4;<id: item 41, condition 4>;Die Amelia amüsierte den Fabian von den Institutsangehörigen am Meisten, weil ;sie einen sehr trockenen und ironischen Humor hat, genau wie er selbst.;1;subjekt;pers;;14055987093514.0;;;;;21;Amelia amüsierte Fabian von den Institutsangehörigen am Meisten, weil;f;Amelia;Fabia;se;amüsierte;3;sie einen sehr trockenen und ironischen Humor hat, genau wie er selbst.;ihre unkonventionellen Ideen und ihr unerschütterlicher Optimismus stets für Überraschungen sorgten.
1621;1622;Liste1;28;22;f;deutsch;nein;rechts;2;4;<id: item 2, condition 4>;Die Laura bedauerte den Sebastian heute Morgen ganz außerordentlich, weil ;er Pickel im Gesicht hat;1;objekt;pers;;14055951558834.0;;;;;282;Laura bedauerte Sebastian heute Morgen ganz außerordentlich, weil;f;Laura;Sebastia;es;bedauerte;3;er Pickel im Gesicht hat;sie seinen Geburtstag vergessen hatte.
1877;1878;Liste1;32;24;f;deutsch;nein;rechts;18;4;<id: item 18, condition 4>;Die Maja vergötterte den Dennis mehr als jede andere Person, weil ;er sehr viele Instrumente spielen kann.;1;objekt;pers;;14055939748053.0;;;;;418;Maja vergötterte Dennis mehr als jede andere Person, weil;f;Maja;Denni;es;vergötterte;3;er sehr viele Instrumente spielen kann.;sie in ihm eine unvergleichliche Leidenschaft und Güte fand, die sie bei niemand anderem entdeckt hatte.
467;468;Liste2;8;25;f;deutsch;nein;rechts;48;3;<id: item 48, condition 3>;Der Tom entzückte die Stefanie bei einem Besuch vorgestern über alle Maßen, weil ;er sehr aufmerksam war.;1;subjekt;pers;;14055087706011.0;;;;;108;Tom entzückte Stefanie bei einem Besuch vorgestern über alle Maßen, weil;m;Tom;Stefani;se;entzückte;4;er sehr aufmerksam war.;er ihr ein selbstgeschriebenes Gedicht vortrug.
1912;1913;Liste1;32;24;f;deutsch;nein;rechts;53;1;<id: item 53, condition 1>;Der Thomas inspirierte die Rosa durch eine Vortragsreihe mit bahnbrechenden Erkenntnissen, weil ;er bereuts sehr viel Forschungsarbeit auf diesem Gebiet geleistet hat.;1;subjekt;pers;;14055931620826.0;;;;;433;Thomas inspirierte Rosa durch eine Vortragsreihe mit bahnbrechenden Erkenntnissen, weil;m;Thomas;Ros;se;inspirierte;2;er bereuts sehr viel Forschungsarbeit auf diesem Gebiet geleistet hat.;sie dadurch neue Perspektiven in ihrem Fachgebiet entdeckte.
12;13;Liste4;1;24;m;deutsch;nein;rechts;13;4;<id: item 13, condition 4>;Die Carina schätzte den Julian in außerordentlich hohem Maße, weil;er ihr oft hilft und viele nützliche Sachen zeigt.;2;objekt;pers;;14055977972209.0;;;;;13;Carina schätzte Julian in außerordentlich hohem Maße, weil;f;Carina;Julia;es;schätzte;3;er ihr oft hilft und viele nützliche Sachen zeigt.;er stets zuverlässig, hilfsbereit und freundlich war.
432;433;Liste2;8;25;f;deutsch;nein;rechts;13;2;<id: item 13, condition 2>;Die Carina schätzte den Julian für das handwerkliche Geschick, weil ;er ihr schon ein paar mal aus der Klemme geholfen hat.;2;objekt;pers;;14055099007084.0;;;;;93;Carina schätzte Julian für das handwerkliche Geschick, weil;f;Carina;Julia;es;schätzte;1;er ihr schon ein paar mal aus der Klemme geholfen hat.;er stets kreative Lösungen fand und selbst schwierige Reparaturen mühelos erledigen konnte.
1732;1733;Liste4;29;20;f;deutsch;nein;rechts;53;4;<id: item 53, condition 4>;Die Rosa inspirierte den Thomas in hohem Maße bei einem neulich stattgefundenen Treffen, weil ;sie eine neue, äußerst interessante Theorie darlegte. ;1;subjekt;pers;;14055942313317.0;1;subjekt;pers;;353;Rosa inspirierte Thomas in hohem Maße bei einem neulich stattgefundenen Treffen, weil;f;Rosa;Thoma;se;inspirierte;3;sie eine neue, äußerst interessante Theorie darlegte. ;sie ihre beeindruckenden Erfahrungen und Einsichten in ihr aktuelles Projekt teilte.
1870;1871;Liste1;32;24;f;deutsch;nein;rechts;11;3;<id: item 11, condition 3>;Der Mark mochte die Eva vom ersten Augenblick der Konferenz an, weil;sie sehr aufgeschlossen war.;1;objekt;pers;;14055930849234.0;;;;;411;Mark mochte Eva vom ersten Augenblick der Konferenz an, weil;m;Mark;Ev;es;mochte;4;sie sehr aufgeschlossen war.;sie ein herzliches Lächeln und eine offene Art hatte.
1680;1681;Liste4;29;20;f;deutsch;nein;rechts;1;4;<id: item 1, condition 4>;Die Elena achtete den Bastian mehr als jeden anderen WG-Mitbewohner, weil ;er besonders gut gebaut war.;1;objekt;pers;;14055939812105.0;;;;;321;Elena achtete Bastian mehr als jeden anderen WG-Mitbewohner, weil;f;Elena;Bastia;es;achtete;3;er besonders gut gebaut war.;er immer zuverlässig und hilfsbereit war.
796;797;Liste3;14;24;m;deutsch;nein;rechts;17;3;<id: item 17, condition 3>;Der Stephan verehrte die Nadine über jedes vorstellbare Maß hinaus, weil;sie seinen Idealvorstellungen einer Frau entsprach.;1;objekt;pers;;14055973256263.0;;;;;137;Stephan verehrte Nadine über jedes vorstellbare Maß hinaus, weil;m;Stephan;Nadin;es;verehrte;4;sie seinen Idealvorstellungen einer Frau entsprach.;er in ihr die Verkörperung all seiner Träume und Wünsche sah.
1908;1909;Liste1;32;24;f;deutsch;nein;rechts;49;1;<id: item 49, condition 1>;Der Armin erfreute die Nina durch ein Kompliment über die sportliche Figur, weil ;Nina schon sehr lange hart trainiert.;1;objekt;name;;14055938434449.0;;;;;429;Armin erfreute Nina durch ein Kompliment über die sportliche Figur, weil;m;Armin;Nin;se;erfreute;2;Nina schon sehr lange hart trainiert.;sie sich in letzter Zeit intensiv ihrem Fitnessprogramm gewidmet hatte.
50;51;Liste4;1;24;m;deutsch;nein;rechts;51;2;<id: item 51, condition 2>;Die Heidi erstaunte den Benedikt durch ein Jonglierkunststück mit sieben Bällen, weil ;sie sich das erst letzte Woche beigebracht hatte und er davon noch nichts wusste.;1;subjekt;pers;;14055987663541.0;;;;;31;Heidi erstaunte Benedikt durch ein Jonglierkunststück mit sieben Bällen, weil;f;Heidi;Benedik;se;erstaunte;1;sie sich das erst letzte Woche beigebracht hatte und er davon noch nichts wusste.;er nicht wusste, dass sie so gut jonglieren konnte.
1670;1671;Liste1;28;22;f;deutsch;nein;rechts;51;3;<id: item 51, condition 3>;Der Benedikt erstaunte die Heidi in allergrößtem Ausmaß gestern bei der Show, weil ;er vpom Seil fiel;1;subjekt;pers;;14055950289387.0;;;;;311;Benedikt erstaunte Heidi in allergrößtem Ausmaß gestern bei der Show, weil;m;Benedikt;Heid;se;erstaunte;4;er vpom Seil fiel;er plötzlich anfing, fehlerfrei auf Französisch zu sprechen.
2143;2144;Liste3;36;21;m;deutsch (im Kindergarten);Türkisch;rechts;44;4;<id: item 44, condition 4>;Die Leonie begeisterte den Nikolas neulich bei einem Grillfest in der Nachbarschaft, weil ;sie ihn dort zum Tanzen aufforderte.;2;subjekt;pers;;14056019114552.0;;;;;464;Leonie begeisterte Nikolas neulich bei einem Grillfest in der Nachbarschaft, weil;f;Leonie;Nikola;se;begeisterte;3;sie ihn dort zum Tanzen aufforderte.;sie eine beeindruckende Torte gezaubert hatte, die alle Gäste ins Staunen versetzte.
1723;1724;Liste4;29;20;f;deutsch;nein;rechts;44;1;<id: item 44, condition 1>;Der Nikolas begeisterte die Leonie mit dem  besonders schönen Gesang beim Karaoke, weil ;er wie Robbie Williams klang.;1;subjekt;pers;;14055936258493.0;;;;;344;Nikolas begeisterte Leonie mit dem  besonders schönen Gesang beim Karaoke, weil;m;Nikolas;Leoni;se;begeisterte;2;er wie Robbie Williams klang.;er nicht nur die Töne perfekt traf, sondern auch eine unglaubliche emotionale Tiefe in seine Darbietung legte.
1628;1629;Liste1;28;22;f;deutsch;nein;rechts;9;1;<id: item 9, condition 1>;Der Marcel liebte die Anja für die extreme Großzügigkeit gegenüber Bedürftigen, weil;er Christ ist;1;subjekt;pers;;14055951914577.0;;;;;289;Marcel liebte Anja für die extreme Großzügigkeit gegenüber Bedürftigen, weil;m;Marcel;Anj;es;liebte;2;er Christ ist;sie stets ihr eigenes Wohlergehen zugunsten anderer zurückstellte.
245;246;Liste2;5;31;m;deutsch;nein;rechts;6;1;<id: item 6, condition 1>;Der Michael ekelte sich vor der Ellen wegen der mangelnden Hygiene vor den OPs, weil;sie in der Nase bohrte.;1;objekt;pers;;14056049720733.0;;;;;46;Michael ekelte sich vor Ellen wegen der mangelnden Hygiene vor den OPs, weil;m;Michael;Elle;es;ekelte sich vor;2;sie in der Nase bohrte.;sie sich nie die Hände wusch.
2112;2113;Liste3;36;21;m;deutsch (im Kindergarten);Türkisch;rechts;13;3;<id: item 13, condition 3>;Der Julian schätzte die Carina in außerordentlich hohem Maße, weil ;sie mit ihrem neuen Projekt ihre Fähigkeit in diesem Berufsfeld zum Ausdruck gebracht hatte.;1;objekt;pers;;14056032708492.0;;;;;453;Julian schätzte Carina in außerordentlich hohem Maße, weil;m;Julian;Carin;es;schätzte;4;sie mit ihrem neuen Projekt ihre Fähigkeit in diesem Berufsfeld zum Ausdruck gebracht hatte.;sie stets zuverlässig und hilfsbereit war.
1392;1393;Liste1;24;19;m;deutsch;nein;rechts;13;1;<id: item 13, condition 1>;Der Julian schätzte die Carina für das handwerkliche Geschick, weil;er das von FRauen nicht gewohnt ist.;1;subjekt;pers;;14055979434115.0;;;;;213;Julian schätzte Carina für das handwerkliche Geschick, weil;m;Julian;Carin;es;schätzte;2;er das von FRauen nicht gewohnt ist.;sie selbst komplizierte Reparaturen am Haus eigenständig und effizient durchführen konnte.
292;293;Liste2;5;31;m;deutsch;nein;rechts;53;2;<id: item 53, condition 2>;Die Rosa inspirierte den Thomas durch eine Vortragsreihe mit bahnbrechenden Erkenntnissen, weil ;sie auf Rysome verwies.;1;subjekt;pers;;14056047048591.0;;;;;73;Rosa inspirierte Thomas durch eine Vortragsreihe mit bahnbrechenden Erkenntnissen, weil;f;Rosa;Thoma;se;inspirierte;1;sie auf Rysome verwies.;ihre Ideen eine völlig neue Perspektive auf sein Forschungsthema boten.
244;245;Liste2;5;31;m;deutsch;nein;rechts;5;2;<id: item 5, condition 2>;Die Emma bewunderte den Phillip für die Neuzüchtung einer Orchideenart, weil;sie ihre Lieblingsfarbe hat.;0-poss;subjekt;poss;;14056047351819.0;;;;;45;Emma bewunderte Phillip für die Neuzüchtung einer Orchideenart, weil;f;Emma;Philli;es;bewunderte;1;sie ihre Lieblingsfarbe hat.;er geduldig jahrelang geforscht und eine besonders widerstandsfähige und ungewöhnlich schön blühende Sorte geschaffen hatte.
1511;1512;Liste3;26;26;f;deutsch;nein;rechts;12;4;<id: item 12, condition 4>;Die Katharina respektierte den Peter im Laufe der Zeit mehr und mehr, weil;seine Argumentationen stets schlüssig und eloquent sind.;0-poss;objekt;poss;;14055106821095.0;;;;;252;Katharina respektierte Peter im Laufe der Zeit mehr und mehr, weil;f;Katharina;Pete;es;respektierte;3;seine Argumentationen stets schlüssig und eloquent sind.;sie seine Empathie und seinen Einsatz für gemeinsame Projekte erkannte.
1324;1325;Liste2;23;22;m;deutsch;nein;rechts;5;2;<id: item 5, condition 2>;Die Emma bewunderte den Phillip für die Neuzüchtung einer Orchideenart, weil;sie keine hinbekam.;1;subjekt;pers;;14055966480611.0;;;;;165;Emma bewunderte Phillip für die Neuzüchtung einer Orchideenart, weil;f;Emma;Philli;es;bewunderte;1;sie keine hinbekam.;er es geschafft hatte, eine besonders widerstandsfähige und farbenprächtige Hybride zu kreieren, die sich perfekt für das lokale Klima eignete.
2100;2101;Liste3;36;21;m;deutsch (im Kindergarten);Türkisch;rechts;1;3;<id: item 1, condition 3>;Der Bastian achtete die Elena mehr als jeden anderen WG-Mitbewohner, weil ;er sich jedesmal bei ihr ausheulen konnte.;2;subjekt;pers;;14056018861596.0;;;;;441;Bastian achtete Elena mehr als jeden anderen WG-Mitbewohner, weil;m;Bastian;Elen;es;achtete;4;er sich jedesmal bei ihr ausheulen konnte.;sie immer ehrlich zu ihm war und ihn in schwierigen Zeiten unterstützte.
1694;1695;Liste4;29;20;f;deutsch;nein;rechts;15;2;<id: item 15, condition 2>;Die Elisabeth verabscheute den Andre für den hinterhältigen Umgang mit den Kunden, weil ;er ihnen Verträge aufdrückte, aus denen sie nicht so leicht wieder rauskamen.;1;objekt;pers;;14055937792765.0;;;;;335;Elisabeth verabscheute Andre für den hinterhältigen Umgang mit den Kunden, weil;f;Elisabeth;Andr;es;verabscheute;1;er ihnen Verträge aufdrückte, aus denen sie nicht so leicht wieder rauskamen.;sie dessen unehrliches Verhalten nicht mit ihrem eigenen Ethos vereinbaren konnte.
1510;1511;Liste3;26;26;f;deutsch;nein;rechts;11;1;<id: item 11, condition 1>;Der Mark mochte die Eva für den toleranten Umgang mit Fremden, weil;sie stets höflich und offen mit allen umging.;1;objekt;pers;;1405510275891.0;;;;;251;Mark mochte Eva für den toleranten Umgang mit Fremden, weil;m;Mark;Ev;es;mochte;2;sie stets höflich und offen mit allen umging.;sie immer offen und respektvoll gegenüber anderen Kulturen und Perspektiven war.
2113;2114;Liste3;36;21;m;deutsch (im Kindergarten);Türkisch;rechts;14;2;<id: item 14, condition 2>;Die Melanie sorgte sich um den Florian wegen des hohen Alkoholkonsums, weil ;dieser letzte Nacht von der Polizei nach Hause gefahren wurde.;1;objekt;sonstig;;14056029487273.0;;;;;454;Melanie sorgte sich um Florian wegen des hohen Alkoholkonsums, weil;f;Melanie;Floria;es;sorgte sich um;1;dieser letzte Nacht von der Polizei nach Hause gefahren wurde.;sie befürchtete, dass es seine Gesundheit gefährden könnte.
241;242;Liste2;5;31;m;deutsch;nein;rechts;2;1;<id: item 2, condition 1>;Der Sebastian bedauerte die Laura für die schlechte Note in Mathematik, weil ;sie ein Mädchen ist.;1;objekt;pers;;14056050886255.0;;;;;42;Sebastian bedauerte Laura für die schlechte Note in Mathematik, weil;m;Sebastian;Laur;es;bedauerte;2;sie ein Mädchen ist.;er wusste, wie hart sie dafür gearbeitet hatte.
783;784;Liste3;14;24;m;deutsch;nein;rechts;4;4;<id: item 4, condition 4>;Die Saskia beneidete den Martin über jedes angemessene Maß hinaus, weil ;er einen Penis hat.;1;objekt;pers;;14055975230247.0;1;objekt;pers;;124;Saskia beneidete Martin über jedes angemessene Maß hinaus, weil;f;Saskia;Marti;es;beneidete;3;er einen Penis hat.;er beruflich erfolgreicher und von ihren gemeinsamen Freunden sehr geschätzt wurde.
2159;2160;Liste3;36;21;m;deutsch (im Kindergarten);Türkisch;rechts;60;4;<id: item 60, condition 4>;Die Paula verwirrte den Manuel während der dreiviertelstündigen Mittagspause durch und durch, weil ;sie beim Sprechen immer zum Hintermann schaute.;1;subjekt;pers;;14056026907587.0;;;;;480;Paula verwirrte Manuel während der dreiviertelstündigen Mittagspause durch und durch, weil;f;Paula;Manue;se;verwirrte;3;sie beim Sprechen immer zum Hintermann schaute.;sie ein geheimes Projekt erwähnte, von dem er bisher nichts wusste.
8;9;Liste4;1;24;m;deutsch;nein;rechts;9;4;<id: item 9, condition 4>;Die Anja liebte den Marcel aus der gesamten Verwandtschaft am Allermeisten, weil ;sie eine natürlicheVerbindung zu ihm spürt und sie sich sehr gut unterhalten können.;2;subjekt;pers;;14055984929705.0;;;;;9;Anja liebte Marcel aus der gesamten Verwandtschaft am Allermeisten, weil;f;Anja;Marce;es;liebte;3;sie eine natürlicheVerbindung zu ihm spürt und sie sich sehr gut unterhalten können.;er immer ein offenes Ohr für sie hatte und sie zum Lachen brachte.
